Sample_ID,K_treatment.x,K_type.x,K_treatment_ENG.x,P_fungi,P_bacteria,P_PMN,P_HWC,P_ergosterol.old,P_CN.product,P_resp.product,P_N.t,P_C.N,P_N.a,P_P.a,P_P.t,P_K.a,P_K.t,P_S.t,P_S.a,P_Mg.t,P_Na.t,P_B.t,P_Cu.a,P_Mn.t,P_Co.a,P_Zn.a,P_pH,P_CaCO3,P_OM,P_CEC,P_Se.a,P_Ca.a,P_Ca.t,P_silt,P_sand,P_silica,P_Mo.a,P_ergosterol,Y_rs.dis
16S.2017.F11.S35,zaadmeel,seeds,Terrafit_Biofum,21.5,14.5,62.1,1032,,9.1,4.9,1210,19,40,1.3,40,71,2.1,170,1,170,7,117,21,870,2.8,940,5.6,0.2,4,66,2.1,637,3315,10,86,3020,4,,13
16S.2016.F12.S36,zaadmeel,seeds,Terrafit_Biofum,47.4,21.2,43.7,741,7.999239526,8.5,9.7,1400,18,50,3.1,56,140,2.5,270,9,162,27,214,21,990,3.7,1340,5.7,0.2,4.4,68,2.1,367,3405,9,87,3020,4,,14
16S.2017.F12.S36,haar/hoefmeel,keratin,Hair_meal,3.4,5.3,37.9,726,,3.4,24.4,1220,19,40,1.2,44,65,2,170,1,167,8,98,20,420,2.6,930,5.2,0.2,4,69,2.1,663,3315,9,87,3020,4,,6
16S.2016.G01.S37,GFTcompost,plant,Compost-1,6.8,11.4,11.2,461,2.645757161,11.8,4,880,15,42,3.8,44,174,2.7,270,17,47,34,212,28,250,2.6,160,7.2,0.7,2.3,59,2.1,338,3475,2,95,8450,6,,15
16S.2017.G01.S37,CaNO3,control,Control+N,7,7.3,4.2,359,,,,660,13,37,1.8,36,16,0.8,290,23,20,6,123,23,250,2.6,110,7.4,4.7,1.5,48,2.1,203,3330,5,88,8350,4,,19
16S.2016.G02.S38,GFTcompost,plant,Compost-1,9,11.6,9.7,418,2.204335628,11.8,4,740,16,34,3.3,37,154,2.6,250,16,36,28,179,26,250,2.6,150,7.2,0.7,2.1,66,2.1,283,4055,4,93,8130,5,,19
16S.2017.G02.S38,KeraproChamplus,keratin,Kerapro_slow_release,6.9,9,30.5,441,,3.6,23.1,810,9,58,1.9,35,23,1.1,260,21,21,5,76,70,510,2.9,190,7.1,4.1,1.3,39,2.1,263,2625,5,89,10680,4,,16
16S.2016.G03.S39,GFTcompost,plant,Compost-1,7.7,10.2,10.6,432,2.67999219,11.8,4,780,15,37,3.7,31,145,2.8,360,27,34,27,172,31,250,2.6,250,7.2,0.9,2,62,2.1,341,3825,3,94,8300,5,,14
16S.2017.G03.S39,Keratinemengsel,keratin,Keratin_mix,10.8,10.2,31,385,,3.3,27.5,730,10,49,1.8,36,17,0.9,270,22,18,7,76,70,560,2.6,160,7.5,4.5,1.3,42,2.1,175,2845,1,92,8900,4,,9
16S.2016.G04.S40,GFTcompost,plant,Compost-1,8.8,18.3,6.7,438,2.909526691,11.8,4,790,18,29,4,40,176,2.9,360,25,44,33,194,33,250,2.6,170,7.2,0.7,2.4,59,2.1,196,3500,3,94,8900,7,,12
